Leptospira noguchii
Leptospira santarosai
Leptospira weilii
Leptotrichia buccalis
Listeria ivanovii
Listeria monocytogenes
Listeria seeligeri
Listeria welshimeri
Mannheimia haemolytica
Megamonas hypermegale
Megasphaera sp.
Micromonas micros
Mogibacterium timidum
Moraxella (Branhamella) catarrhalis
Moraxella (Branhamella) caviae
Moraxella (Branhamella) cuniculi
Moraxella (Branhamella) ovis
Moraxella (Moxarella) atlantae
Moraxella (Moxarella) bovis
Moraxella (Moxarella) lacunata
Moraxella (Moxarella) liquefaciens
Moraxella (Moxarella) nonliquefaciens
Moraxella (Moxarella) osloensis
Moraxella lincolnii
Morganella morganii
Mycobacterium abscessus
Mycobacterium africanum
Mycobacterium asiaticum
Mycobacterium avium
Mycobacterium bovis
Mycobacterium celatum
Mycobacterium chelonae
Mycobacterium conspicuum
Mycobacterium fortuitum
Mycobacterium genavense
Mycobacterium gordonae
Mycobacterium haemophilum
Mycobacterium kansasii
Mycobacterium leprae
Mycobacterium malmoense
Mycobacterium marinum
Mycobacterium mucogenicum
Mycobacterium peregrinum
Mycobacterium porcinum
Mycobacterium scrofulaceum
Mycobacterium senegalense
Mycobacterium shimoidei
Mycobacterium simiae
Mycobacterium smegmatis
Mycobacterium szulgai
Mycobacterium tuberculosis
Mycobacterium ulcerans
Mycobacterium xenopi
Mycoplasma fermentans
Mycoplasma genitalium
Mycoplasma hominis
Mycoplasma pneumoniae
Mycoplasma salivarium
Myroides odoratus
Neisseria cinerea
Neisseria elongata
Neisseria flava
Neisseria flavescens
Neisseria gonorrhoeae
Neisseria lactamica
Neisseria meningitidis
Neisseria mucosa
Neisseria perflava
Neisseria sicca
Neisseria subflava
Neisseria weaveri
Neorickettsia sennetsu
Nocardia asteroides
Nocardia brasiliensis
Nocardia caviae
Nocardia farcinica
Nocardia nova
Nocardia otitidiscaviarum
Nocardia pseudobrasiliensis
Nocardia transvalensis
Ochrobactrum anthropi
Oligella ureolytica
Oligella urethralis
Orientia tsutsugamushi
Paenibacillus alvei
Paenibacillus macerans
Pantoea agglomerans
Pasteurella aerogenes
Pasteurella caballi
Pasteurella canis
Pasteurella dagmatis
Pasteurella multocida
Pasteurella pneumotropica
Pasteurella stomatis
Peptinophilus asaccharolyticus
Peptococcus niger
Peptostreptococcus anaerobius
Photobacterium damselae
Plesiomonas shigelloides
Porphyromonas asaccharolytica
Porphyromonas catoniae
Porphyromonas circumdentaria
Porphyromonas endodontalis
Porphyromonas gingivalis
Porphyromonas levii
Porphyromonas macacae
Prevotella bivia
Prevotella buccae
Prevotella buccalis
Prevotella corporis
Prevotella dentalis
Prevotella denticola
Prevotella disiens
Prevotella enoeca
Prevotella heparinolytica
Prevotella intermedia
Prevotella loescheii
Prevotella melaninogenica
Prevotella nigrescens
Prevotella oralis
Prevotella oris
Prevotella oulora
Prevotella ruminicola
Prevotella tannerae
Prevotella veroralis
Prevotella zoogleoformans
Propionibacterium acnes
Propionibacterium avidum
Propionibacterium granulosum
Propionibacterium propionicus
Proteus mirabilis
Proteus penneri
Proteus vulgaris
Providencia alcalifaciens
Providencia rettgeri
Providencia stuartii
Pseudomonas aeruginosa
Pseudomonas alcaligenes
Pseudomonas fluorescens
Pseudomonas pseudoalcaligenes
Pseudomonas putida
Pseudomonas stutzeri
Pseudonocardia autotrophica
Pseudoramibacter alactolyticus
Psychrobacter phenylpyruvicus
Rahnella aquatilis
Ralstonia pickettii
Rhodococcus equi
Rhodococcus erythropolis
Rhodococcus fascians
Rhodococcus rhodnii
Rhodococcus rhodochrous
Rickettsia africae
Rickettsia akari
Rickettsia australis
Rickettsia conorii
Rickettsia felis
Rickettsia honei
Rickettsia japonica
Rickettsia massiliae
Rickettsia prowazekii
Rickettsia rickettsii
Rickettsia sibirica
Rickettsia typhi
Rothia dentocariosa
Ruminococcus productus
Saccharomonospora viridis
Saccharopolyspora rectivirgula
Salmonella bongori
Salmonella choleraesuis
Salmonella enteritidis
Salmonella typhi
Salmonella typhimurium
Sebaldella termitidis
Selenomonas artemidis
Selenomonas dianae
Selenomonas flueggei
Selenomonas infelix
Selenomonas noxia
Serratia ficaria
Serratia marcescens
Serratia odorifera
Serratia plymuthica
Serratia proteamaculans
Serratia rubidaea
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Sphingomonas paucimobilis
Spirillum minus
Staphylococcus aureus
Staphylococcus epidermidis
Staphylococcus haemolyticus
Staphylococcus hyicus
Staphylococcus intermedius
Staphylococcus lugdunensis
Staphylococcus saprophyticus
Staphylococcus warneri
Stenotrophomonas maltophilia
Streptobacillus moniliformis
Streptococcus acidominimus
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus bovis
Streptococcus canis
Streptococcus constellatus
Streptococcus criceti
Streptococcus equi
Streptococcus gordonii
Streptococcus intermedius
Streptococcus milleri
Streptococcus mitis
Streptococcus mutans
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus salivarius
Streptococcus sanguis
Streptococcus sobrinus
Streptococcus suis
Streptococcus uberis
Sutterella wadsworthensis
Suttonella indologenes
Tatlockia maceachernii
Tatlockia micdadei
Tatumella ptyseos
Treponema carateum
Treponema pallidum
Tropheryma whippelii
Tsukamurella inchonensis
Tsukamurella paurometabola
Tsukamurella pulmonis
Tsukamurella tyrosinosolvens
Ureaplasma urealyticum
Veillonella atypica
Veillonella dispar
Veillonella parvula
Vibrio alginolyticus
Vibrio cholerae
Vibrio cincinnatiensis
Vibrio fluvialis
Vibrio furnissii
Vibrio hollisae
Vibrio mimicus
Vibrio parahaemolyticus
Vibrio vulnificus
Wolinella succinogenes
Yersinia bercovieri
Yersinia enterocolitica
Yersinia frederiksenii
Yersinia intermedia
Yersinia kristensenii
Yersinia mollaretii
Yersinia pestis
Yersinia pseudotuberculosis
Yersinia rohdei
Yersinia ruckeri
